row,hour,month,reward,served_ratio,total_demand,avg_util,n_trip,n_danger,n_healthy,n_disc,power_shed,r_serve,r_overload,r_danger,r_cascade,r_health,r_shed,r_topology
146,2,1,3.64797,0.952705,1461.22,0.153219,0,0,28,0,69.1085,3.81082,-0,-0,-0,0.0263323,-0.18918,-0
147,3,1,3.65167,0.952698,1434.28,0.152858,0,0,32,0,67.845,3.81079,-0,-0,-0,0.030094,-0.18921,-0
148,4,1,3.64981,0.9527,1448.16,0.153161,0,0,30,0,68.4979,3.8108,-0,-0,-0,0.0282132,-0.1892,-0
149,5,1,3.65535,0.952687,1522.76,0.166089,0,0,36,0,72.0458,3.81075,-0,-0,-0,0.0338558,-0.189251,-0
150,6,1,3.61526,0.952707,2254.5,0.255735,3,1,97,0,106.621,3.81083,-0.098867,-2.45117e-06,-0.000530655,0.0912226,-0.187392,-0
151,7,1,3.59479,0.952711,2616.3,0.301418,4,4,122,0,123.722,3.81084,-0.142912,-0.000146507,-0.000943387,0.114734,-0.186784,-0
152,8,1,3.62873,0.9527,2697.9,0.305824,3,6,125,0,127.61,3.8108,-0.111582,-9.28227e-05,-0.000530655,0.117555,-0.18742,-0
153,9,1,3.5894,0.952705,2894.2,0.304232,4,4,130,0,136.881,3.81082,-0.155731,-0.000197954,-0.000943387,0.122257,-0.186807,-0
154,10,1,3.61232,0.952705,2503.16,0.254744,3,0,94,0,118.387,3.81082,-0.0989668,-0,-0.000530655,0.0884013,-0.187401,-0
155,11,1,3.61886,0.952709,2532.08,0.260156,3,0,103,0,119.743,3.81084,-0.100928,-0,-0.000530655,0.0968652,-0.187383,-0
156,12,1,3.61629,0.9527,2515.84,0.254825,3,1,98,0,118.998,3.8108,-0.0987209,-1.40564e-08,-0.000530655,0.092163,-0.187419,-0
157,13,1,3.61285,0.952705,2498.82,0.255076,3,0,96,0,118.183,3.81082,-0.10032,-0,-0.000530655,0.0902821,-0.187403,-0
158,14,1,3.61691,0.952702,2551.66,0.260456,3,0,103,0,120.689,3.81081,-0.102822,-0,-0.000530655,0.0968652,-0.187414,-0
159,15,1,3.6178,0.952707,2528.02,0.260264,3,0,101,0,119.558,3.81083,-0.100083,-0,-0.000530655,0.0949843,-0.187394,-0
160,16,1,3.61419,0.952706,2485.52,0.255737,3,0,98,0,117.55,3.81082,-0.100874,-0,-0.000530655,0.092163,-0.187397,-0
161,17,1,3.61384,0.952705,2499.68,0.2533,3,0,96,0,118.223,3.81082,-0.0993282,-0,-0.000530655,0.0902821,-0.187402,-0
162,18,1,3.41279,0.952709,3287.52,0.371879,9,7,160,0,155.471,3.81083,-0.359555,-0.000359241,-0.0047759,0.15047,-0.183829,-0
163,19,1,3.34764,0.952711,3132.52,0.372604,11,7,151,0,148.134,3.81084,-0.415181,-0.000262839,-0.00713436,0.142006,-0.182634,-0
164,20,1,3.4168,0.9527,3138.7,0.361708,9,7,152,0,148.461,3.8108,-0.348019,-0.000285724,-0.0047759,0.142947,-0.183862,-0
165,21,1,3.41015,0.952704,3175.26,0.368014,9,9,149,0,150.177,3.81082,-0.351878,-0.000293347,-0.0047759,0.140125,-0.183847,-0
166,22,1,3.37427,0.952712,3159.34,0.372023,10,9,152,0,149.4,3.81085,-0.39006,-0.000347198,-0.00589617,0.142947,-0.183223,-0
167,23,1,3.61047,0.952699,2210.56,0.252557,3,0,92,0,104.562,3.8108,-0.0988918,-0,-0.000530655,0.0865204,-0.187426,-0
168,0,1,3.65143,0.952667,1605.9,0.158193,0,0,32,0,76.0127,3.81067,-0,-0,-0,0.030094,-0.189334,-0
169,1,1,3.65148,0.952674,1566.04,0.155662,0,0,32,0,74.1146,3.8107,-0,-0,-0,0.030094,-0.189305,-0
170,2,1,3.64961,0.952674,1593.98,0.157044,0,0,30,0,75.436,3.8107,-0,-0,-0,0.0282132,-0.189302,-0
171,3,1,3.65058,0.952679,1609.64,0.160499,0,0,31,0,76.17,3.81072,-0,-0,-0,0.0291536,-0.189285,-0
172,4,1,3.65061,0.952682,1616.64,0.160594,0,0,31,0,76.4968,3.81073,-0,-0,-0,0.0291536,-0.189274,-0
173,5,1,3.65236,0.952665,1650.5,0.167319,0,0,33,0,78.1257,3.81066,-0,-0,-0,0.0310345,-0.189338,-0
174,6,1,3.63781,0.952694,2316.16,0.243968,2,1,85,0,109.569,3.81078,-0.0646041,-2.79686e-05,-0.000235847,0.0799373,-0.188038,-0
175,7,1,3.59504,0.952695,2665.5,0.289889,4,2,118,0,126.092,3.81078,-0.138781,-0.000133433,-0.000943387,0.110972,-0.186848,-0
176,8,1,3.55657,0.952691,2853.48,0.304408,5,9,120,0,134.994,3.81077,-0.178931,-0.000372701,-0.00147404,0.112853,-0.186269,-0
177,9,1,3.61308,0.952692,3151.38,0.314626,4,2,144,0,149.085,3.81077,-0.145302,-1.15575e-05,-0.000943387,0.135423,-0.186858,-0
178,10,1,3.62612,0.95269,2780.96,0.277556,3,3,109,0,131.568,3.81076,-0.0991227,-2.92048e-05,-0.000530655,0.102508,-0.187462,-0
179,11,1,3.63787,0.95269,2846.28,0.28712,3,1,124,0,134.656,3.81076,-0.101378,-0.000140148,-0.000530655,0.116614,-0.187459,-0
180,12,1,3.62966,0.95269,2840.72,0.287441,3,2,116,0,134.393,3.81076,-0.1021,-9.94777e-05,-0.000530655,0.109091,-0.187458,-0
181,13,1,3.59455,0.952689,2807.6,0.285932,4,1,112,0,132.831,3.81076,-0.133643,-7.38015e-05,-0.000943387,0.105329,-0.186872,-0
182,14,1,3.65972,0.952686,2808.78,0.280459,2,3,113,0,132.893,3.81075,-0.0688794,-0.000112581,-0.000235847,0.10627,-0.188068,-0
